date_utc,reviewer,location,rating,flagged_fake,content_truncated,review_snippet
2023-06-24,Brian,,5,,YES,"Exactly what I needed! Not only is the bike of superior quality, I had excellent customer service and"
2023-07-11,Joey,,1,,YES,"No good. Broke my clavicle due to tightened brakes and mis position handle, verified by my"
2023-07-12,Cam,"Lake Oswego, Oregon, USA",5,,,(no content - rating only)
2023-07-13,Miguel,,5,,,Excellent!
2023-07-19,Joseph,,5,,YES,"Highly recommended! At 6'2, 290, just wow. The handling of the bike is amazing and"
2023-07-24,Robert,"ALBANY, Georgia, USA",5,,,Fantastic!
2023-07-27,Adam,"Cedarburg, Wisconsin, USA",4,,,(no content - rating only)
2023-08-05,Andrew,,5,,YES,"Unbelievable and gorgeous I see why the SP was top rated in triathlete magazine. It's light, it's powerful, and it's fast! 90% assembled with an easy"
2023-08-11,Adam,,3,,YES,Not amazing. I like the bike but it didn't come with torque wrench that it says comes with it. I was told it would be mailed. Never received and no response after
2023-08-28,Asher,"Castle Rock, Colorado, USA",5,,,Fantastic!
2023-08-29,Caroline,"Guilford, Connecticut, USA",5,,,Fantastic!
2023-09-07,Kevin,,5,,YES,Felt very taken care of Gotta give a shoutout to A2 and Brandon. I had purchased an SP secondhand and was having trouble getting it setup to my height. I reached out
2023-09-12,Rick,"Albuquerque, New Mexico, USA",5,,,(no content - rating only)
2023-09-20,Mark,"Portland, Oregon, USA",5,,,(no content - rating only)
2023-09-29,Ana,"Vancouver, Washington, USA",5,,,(no content - rating only)
2023-10-03,Chris,,5,,YES,Excellent! Shipped quickly and great service. AJ and Brandon made sure I was getting the right components via email and double checked everything. I'm way more
2023-10-13,Michael,"WHITE MARSH, Maryland, USA",5,,,Excellent! You Guys are AMAZING! Enviable Service!
2023-10-19,Clare,"Minneapolis, Minnesota, USA",5,,,(no content - rating only)
2023-10-23,Steve,,5,,,What a great experience purchasing an A2 bike. AJ and Brandon made the purchase of my RP-2 easy and seamless.
2023-11-09,Gavin,,5,,YES,"Amazing bike super smooth This bike has amazing adjustability and is super light weight. The customer service is fantastic, I got my bike within 2 weeks of ordering."
2023-11-21,Larry,,5,,YES,Excellent Customer Service AJ and Brandon took time to talk with my coach and myself to find the perfect bike for me. They remain relatively responsive about post
2023-11-24,Danielle,"Madison, Wisconsin, USA",5,,,(no content - rating only)
2023-11-30,D,"Vancouver, Washington, USA",5,,,(no content - rating only)
2023-11-30,Rocco,,5,,YES,Fantastic! AJ was very helpful in my purchase. I asked him a lot of questions and he gave honest answers without trying to be a salesman. Oh. yea. The SP is awesome!
2023-12-18,Francois-Olivier,,5,,YES,"Great bike, efficient customer service, easy fit I've been riding my new SP1.1e for about 200 miles and really enjoyed it so far. A couple of customer"
2023-12-23,Steve,"Pearland, Texas, USA",5,,,(no content - rating only)
2024-01-05,Tim,"Woodland Park, Colorado, USA",5,,,(no content - rating only)
2024-01-10,Kelli,,5,,YES,The best customer service ever! I was absolutely blown away by this company! They made the entire process an incredible experience. I have very limited bike
2024-01-25,Kevin,,5,,YES,Incredible I purchased my bike secondhand. There as an issue regarding the height that it needed to be for me to use it. I reached out and Brandon within less tha...
2024-01-25,Robert,"Cinnaminson, New Jersey, USA",5,,,(no content - rating only)
2024-02-05,Carl,"Arlington, Virginia, USA",5,,,(no content - rating only)
2024-02-20,Asher,"Marathon, Wisconsin, USA",5,,,(no content - rating only)
2024-02-29,Tim,"Woodland Park, Colorado, USA",5,,,"Awesome experience Always available, quick responses and great to work with."
2024-03-02,Alex,,1,,,(no content - rating only)
2024-03-02,Alex,,1,,YES,"Bad customer service Bike seems to be nice/haven't try it since it came with a little damage, but cust service is not great at all. First it took them 2 weeks to"
2024-03-24,Jared,"The Woodlands, Texas, USA",5,,,(no content - rating only)
2024-03-29,Michael,,1,,YES,No good. Never received
2024-04-12,Joseph,,5,,YES,"It's A2, of course its an amazing experience As a big guy, 6'2"" 285. I'm a lot on the bike. Had a mishap with the firearm padding and the bracket"
2024-04-16,Kevin,,2,,,(no content - rating only)
2024-04-23,Michael,,5,,YES,"Love the bike, love the service My first tri-bike. the team at A2 were"
2024-04-24,Chris,"Ft drum, New York, USA",5,,,(no content - rating only)
2024-04-25,Rahul,"Newark, California, USA",5,,,(no content - rating only)
2024-04-25,Brett,,5,,YES,"Fantastic bike, rides really smooth and the look is very sleek Thank you AJ for being an awesome representative of the brand and being really supportive, engaging,"
2024-04-25,Brett,,5,,YES,"best in class customer service I was thrilled with my customer service experience, honestly couldn't have asked for a better experience when needing help in"
2024-04-30,Layne,,5,,YES,Phenomenally fast bike! Nicest bike I have ever owned. Feels like there's endless power in my legs
2024-05-06,Ryan,"Akron, Ohio, USA",5,,,(no content - rating only)
2024-05-14,Kyle,,5,,YES,Amazing service through adversity!! I ordered the A2 tri bike. Shimano 105 Di2. Bike arrived damaged from shipping carrier. The entire A2 team jumped on the situation
2024-05-15,Mark,"Gibsonia, Pennsylvania, USA",5,,,Great
2024-05-16,robert,,1,,YES,Negative The cage never showed with my bike order. The bike was delivered with a deep scratch on the top tube. Contacted the company. They said they would provi...
2024-05-16,robert,,2,,,(no content - rating only)
2024-05-16,Ricky,"Ormond Beach, Florida, USA",5,,,(no content - rating only)
2024-05-18,Chet,,5,,YES,"Sleek, Great construction, Lightweight, Amazing engineering AJ and Brandon have been extremely helpful to a senior Triathlete. Thank you very much for all of your"
2024-05-22,jacob,"Tempe, Arizona, USA",5,,,(no content - rating only)
2024-05-22,Kendall,,5,,YES,"Super impressed! Very responsive, gave good insights, bike was easy to assemble and one question I had was answered. Responsiveness of the whole team is next level"
2024-06-02,Vivek,,5,,YES,Awesome looks and flawless functioning I got my bike in about 3 weeks after ordering. It was definitely worth the wait. I love the looks and the smooth gear shift.
